PR,run_sha,run_time,latency
10000,7bbb8d0cc0,2018-04-13T19:43:27.448681Z,3491.84081135
10001,2eef29f3c0,2018-03-17T03:24:15.16151Z,3681.7526918333333
10002,2eef29f3c0,2018-03-17T03:24:15.16151Z,3425.352691833333
10003,2eef29f3c0,2018-03-17T03:24:15.16151Z,3462.7693585
10004,2eef29f3c0,2018-03-17T03:24:15.16151Z,4004.0360251666666
10005,2eef29f3c0,2018-03-17T03:24:15.16151Z,4008.9193585000003
10006,2eef29f3c0,2018-03-17T03:24:15.16151Z,3208.5693585
10007,2eef29f3c0,2018-03-17T03:24:15.16151Z,3209.7026918333336
10008,2eef29f3c0,2018-03-17T03:24:15.16151Z,2205.9193585000003
10009,2eef29f3c0,2018-03-17T03:24:15.16151Z,3425.7193585
10010,ecd2c46c1a,2018-03-19T11:23:17.561254Z,4330.6760209
10011,72a61489a6,2018-03-16T00:11:49.625846Z,3159.860430766667
10014,c218fe33f4,2018-04-05T17:43:22.903208Z,2853.4483868
10018,d04a8fc02b,2018-04-05T00:10:26.878112Z,22243.297968533334
10019,2eef29f3c0,2018-03-17T03:24:15.16151Z,4116.2193585
10020,72a61489a6,2018-03-16T00:11:49.625846Z,2967.8770974333333
10022,2eef29f3c0,2018-03-17T03:24:15.16151Z,4409.252691833333
10023,2eef29f3c0,2018-03-17T03:24:15.16151Z,4178.9193585
10024,2eef29f3c0,2018-03-17T03:24:15.16151Z,2882.586025166667
10025,2eef29f3c0,2018-03-17T03:24:15.16151Z,3635.7693585
10027,2eef29f3c0,2018-03-17T03:24:15.16151Z,3598.5193585
10029,d04a8fc02b,2018-04-05T00:10:26.878112Z,17912.49796853333
10030,2eef29f3c0,2018-03-17T03:24:15.16151Z,3463.5526918333335
10031,2eef29f3c0,2018-03-17T03:24:15.16151Z,3566.0526918333335
10032,2eef29f3c0,2018-03-17T03:24:15.16151Z,3544.636025166667
10033,2eef29f3c0,2018-03-17T03:24:15.16151Z,3490.586025166667
10034,2eef29f3c0,2018-03-17T03:24:15.16151Z,3480.852691833333
10037,2eef29f3c0,2018-03-17T03:24:15.16151Z,3359.2693585
10038,2eef29f3c0,2018-03-17T03:24:15.16151Z,3357.7026918333336
10039,2eef29f3c0,2018-03-17T03:24:15.16151Z,1695.1193585
10040,2eef29f3c0,2018-03-17T03:24:15.16151Z,3307.1526918333334
10041,d04a8fc02b,2018-04-05T00:10:26.878112Z,21972.847968533333
10043,2eef29f3c0,2018-03-17T03:24:15.16151Z,2924.8193585
10044,2eef29f3c0,2018-03-17T03:24:15.16151Z,2706.636025166667
10045,2eef29f3c0,2018-03-17T03:24:15.16151Z,2760.852691833333
10046,2eef29f3c0,2018-03-17T03:24:15.16151Z,1989.4360251666667
10047,ecd2c46c1a,2018-03-19T11:23:17.561254Z,4907.692687566667
10048,ecd2c46c1a,2018-03-19T11:23:17.561254Z,4647.7260209
10049,2eef29f3c0,2018-03-17T03:24:15.16151Z,2325.0360251666666
10050,3589b85af3,2018-04-05T00:43:49.685975Z,13593.611432916667
10051,d04a8fc02b,2018-04-05T00:10:26.878112Z,23547.931301866665
10054,3589b85af3,2018-04-05T00:43:49.685975Z,13268.878099583333
10055,ecd2c46c1a,2018-03-19T11:23:17.561254Z,4274.192687566667
10057,ecd2c46c1a,2018-03-19T11:23:17.561254Z,3742.809354233333
10058,ecd2c46c1a,2018-03-19T11:23:17.561254Z,4116.759354233333
10059,ecd2c46c1a,2018-03-19T11:23:17.561254Z,4651.342687566666
10060,ecd2c46c1a,2018-03-19T11:23:17.561254Z,4839.9760209
10061,ecd2c46c1a,2018-03-19T11:23:17.561254Z,4329.892687566667
10062,d04a8fc02b,2018-04-05T00:10:26.878112Z,23119.931301866665
10063,d04a8fc02b,2018-04-05T00:10:26.878112Z,21944.481301866665
10064,ecd2c46c1a,2018-03-19T11:23:17.561254Z,3980.5093542333334
10065,ecd2c46c1a,2018-03-19T11:23:17.561254Z,4402.759354233333
10066,d04a8fc02b,2018-04-05T00:10:26.878112Z,24453.481301866665
10067,ecd2c46c1a,2018-03-19T11:23:17.561254Z,4621.942687566667
10068,d04a8fc02b,2018-04-05T00:10:26.878112Z,21521.3646352
10069,ecd2c46c1a,2018-03-19T11:23:17.561254Z,4490.459354233333
10070,d04a8fc02b,2018-04-05T00:10:26.878112Z,24107.481301866665
10074,d04a8fc02b,2018-04-05T00:10:26.878112Z,22900.681301866665
10075,d04a8fc02b,2018-04-05T00:10:26.878112Z,19020.281301866667
10076,c53d084cc5,2018-04-15T11:37:13.588375Z,2851.9764729166664
10077,d04a8fc02b,2018-04-05T00:10:26.878112Z,23534.931301866665
10078,d04a8fc02b,2018-04-05T00:10:26.878112Z,23526.931301866665
10079,d04a8fc02b,2018-04-05T00:10:26.878112Z,24108.49796853333
10080,ecd2c46c1a,2018-03-19T11:23:17.561254Z,3766.709354233333
10082,d04a8fc02b,2018-04-05T00:10:26.878112Z,21907.74796853333
10083,3589b85af3,2018-04-05T00:43:49.685975Z,10310.378099583333
10084,d04a8fc02b,2018-04-05T00:10:26.878112Z,24405.647968533332
10086,d04a8fc02b,2018-04-05T00:10:26.878112Z,24134.131301866666
10087,d04a8fc02b,2018-04-05T00:10:26.878112Z,24066.964635199998
10089,d04a8fc02b,2018-04-05T00:10:26.878112Z,24048.014635199997
10090,d04a8fc02b,2018-04-05T00:10:26.878112Z,21501.44796853333
10091,d04a8fc02b,2018-04-05T00:10:26.878112Z,23509.131301866666
10092,d04a8fc02b,2018-04-05T00:10:26.878112Z,23501.047968533334
10093,d04a8fc02b,2018-04-05T00:10:26.878112Z,23488.847968533333
10096,d04a8fc02b,2018-04-05T00:10:26.878112Z,22291.631301866666
10098,d04a8fc02b,2018-04-05T00:10:26.878112Z,21818.214635199998
10099,d04a8fc02b,2018-04-05T00:10:26.878112Z,22917.19796853333
10100,d04a8fc02b,2018-04-05T00:10:26.878112Z,19014.964635199998
10101,d04a8fc02b,2018-04-05T00:10:26.878112Z,20250.181301866665
10102,d04a8fc02b,2018-04-05T00:10:26.878112Z,22951.397968533332
10103,d04a8fc02b,2018-04-05T00:10:26.878112Z,22889.597968533333
10104,d04a8fc02b,2018-04-05T00:10:26.878112Z,19788.49796853333
10105,d04a8fc02b,2018-04-05T00:10:26.878112Z,20189.5646352
10106,d04a8fc02b,2018-04-05T00:10:26.878112Z,19563.931301866665
10107,d04a8fc02b,2018-04-05T00:10:26.878112Z,19920.1646352
10109,d04a8fc02b,2018-04-05T00:10:26.878112Z,20406.5646352
10110,d04a8fc02b,2018-04-05T00:10:26.878112Z,18105.647968533332
10111,d04a8fc02b,2018-04-05T00:10:26.878112Z,19704.647968533332
10113,c218fe33f4,2018-04-05T17:43:22.903208Z,2791.3650534666667
10115,d04a8fc02b,2018-04-05T00:10:26.878112Z,20457.781301866667
