Month,Total commits,Chromium exports,Gecko exports,Servo exports,WebKit exports
2015-01,291,0,1,0,0
2015-02,172,0,2,0,0
2015-03,191,0,2,0,0
2015-04,234,0,12,0,0
2015-05,194,0,0,0,0
2015-06,237,0,7,0,0
2015-07,183,0,1,0,0
2015-08,199,0,2,0,0
2015-09,360,0,6,0,0
2015-10,127,0,6,0,0
2015-11,157,0,9,0,0
2015-12,175,0,18,0,0
2016-01,202,0,17,0,0
2016-02,178,0,12,0,0
2016-03,149,0,29,0,0
2016-04,224,0,42,0,0
2016-05,230,0,69,0,0
2016-06,219,0,37,0,0
2016-07,126,0,0,0,0
2016-08,320,0,73,0,0
2016-09,298,0,0,0,0
2016-10,334,1,43,0,0
2016-11,176,1,16,0,0
2016-12,182,5,0,0,0
2017-01,354,8,117,0,0
2017-02,396,63,43,0,0
2017-03,382,40,23,0,4
2017-04,357,54,28,15,0
2017-05,337,109,48,0,0
2017-06,277,73,56,9,0
2017-07,212,61,0,0,0
2017-08,433,102,93,0,0
2017-09,266,77,26,0,0
2017-10,401,80,52,57,0
2017-11,415,108,123,2,0
2017-12,236,95,0,0,1
2018-01,482,167,93,29,1
2018-02,402,176,30,6,9
2018-03,417,144,25,4,1
2018-04,445,121,79,1,1
2018-05,481,125,57,8,2
2018-06,443,138,38,4,4
2018-07,545,126,121,12,0
2018-08,438,92,62,3,1
